command_forward,R_tau_ff_4,R_tau_ff_5,,L_tau_ff_4,L_tau_ff_5,,L_tau_actual_0,L_tau_actual_1,L_tau_actual_2,L_tau_actual_3,L_tau_actual_4,L_tau_actual_5,,R_tau_actual_0,R_tau_actual_1,R_tau_actual_2,R_tau_actual_3,R_tau_actual_4,R_tau_actual_5,,L_q_des_0,L_q_des_1,L_q_des_2,L_q_des_3,L_q_des_4,L_q_des_5,,R_q_des_0,R_q_des_1,R_q_des_2,R_q_des_3,R_q_des_4,R_q_des_5,,L_q_0,L_q_1,L_q_2,L_q_3,L_q_4,L_q_5,,R_q_0,R_q_1,R_q_2,R_q_3,R_q_4,R_q_5,,L_qd_des_0,L_qd_des_1,L_qd_des_2,L_qd_des_3,L_qd_des_4,L_qd_des_5,,R_qd_des_0,R_qd_des_1,R_qd_des_2,R_qd_des_3,R_qd_des_4,R_qd_des_5,,L_qd_0,L_qd_1,L_qd_2,L_qd_3,L_qd_4,L_qd_5,,R_qd_0,R_qd_1,R_qd_2,R_qd_3,R_qd_4,R_qd_5
0,0,0,,0,0,,0.772404,0.438173,-0.945663,-0.0474949,0,0,,0.078315,-1.48258,2.55463,0.328998,0,0,,0.319913,0.309532,0.00596452,1.07528,0,0,,0.0984375,-0.350096,0.102562,1.11097,0,0,,0.274485,0.293315,0.0309909,1.0844,0,0,,0.0821873,-0.289894,0.0324415,1.10015,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.286754,-0.231141,0.875851,-0.297748,0,0,,0.473216,0.60216,-2.20637,-0.110135,0,0,
0,0,0,,0,0,,0.765175,0.43992,-0.938454,-0.03369,0,0,,0.088396,-1.50513,2.50559,0.271388,0,0,,0.319913,0.309532,0.00596452,1.07528,0,0,,0.0984375,-0.350096,0.102562,1.11097,0,0,,0.275047,0.292881,0.0325731,1.08381,0,0,,0.083032,-0.288698,0.0285662,1.10015,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.280686,-0.216613,0.791096,-0.297056,0,0,,0.42235,0.597786,-1.93763,0.00176183,0,0,
0,0,0,,0,0,,0.756981,0.44132,-0.92772,-0.0221541,0,0,,0.0969349,-1.52685,2.44873,0.215369,0,0,,0.319913,0.309532,0.00596452,1.07528,0,0,,0.0984375,-0.350096,0.102562,1.11097,0,0,,0.275599,0.292476,0.0339859,1.08322,0,0,,0.0837879,-0.287513,0.025215,1.10036,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.276313,-0.202475,0.706389,-0.292531,0,0,,0.377961,0.59232,-1.67564,0.101527,0,0,
0,0,0,,0,0,,0.738802,0.443016,-0.896346,-0.00519902,0,0,,0.109694,-1.56805,2.31439,0.109951,0,0,,0.319913,0.309532,0.00596452,1.07528,0,0,,0.0984375,-0.350096,0.102562,1.11097,0,0,,0.276686,0.291751,0.0363051,1.08211,0,0,,0.0850805,-0.285185,0.0200218,1.10126,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.270108,-0.174092,0.537506,-0.273208,0,0,,0.306883,0.578197,-1.17539,0.260658,0,0,
0,0,0,,0,0,,0.72949,0.442671,-0.875564,-5.70764e-05,0,0,,0.113697,-1.58732,2.2385,0.0638608,0,0,,0.319913,0.309532,0.00596452,1.07528,0,0,,0.0984375,-0.350096,0.102562,1.11097,0,0,,0.27722,0.291429,0.0372127,1.08159,0,0,,0.0856379,-0.284048,0.0181449,1.1019,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.266896,-0.160714,0.453808,-0.25942,0,0,,0.278687,0.568828,-0.93845,0.32082,0,0,
0,0,0,,0,0,,0.720419,0.44241,-0.851867,0.00342583,0,0,,0.116648,-1.60538,2.15757,0.0209468,0,0,,0.319913,0.309532,0.00596452,1.07528,0,0,,0.0984375,-0.350096,0.102562,1.11097,0,0,,0.277746,0.291132,0.0379548,1.0811,0,0,,0.0861475,-0.282932,0.0167227,1.10264,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.263267,-0.148458,0.371074,-0.243807,0,0,,0.254804,0.558012,-0.711101,0.370331,0,0,
0,0,0,,0,0,,0.711704,0.44222,-0.825343,0.00537153,0,0,,0.118397,-1.6223,2.07234,-0.0186219,0,0,,0.319913,0.309532,0.00596452,1.07528,0,0,,0.0984375,-0.350096,0.102562,1.11097,0,0,,0.278265,0.290857,0.0385334,1.08065,0,0,,0.0866188,-0.281841,0.0157348,1.10346,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.259428,-0.137557,0.289307,-0.226612,0,0,,0.235615,0.545414,-0.493939,0.409339,0,0,
0,0,0,,0,0,,0.703246,0.442272,-0.796032,0.0058383,0,0,,0.118567,-1.63781,1.98351,-0.0544994,0,0,,0.301419,0.316188,0.000888012,1.07428,0,0,,0.0876084,-0.351336,0.117598,1.12395,0,0,,0.278774,0.290602,0.0389513,1.08023,0,0,,0.0870588,-0.280777,0.0151601,1.10433,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.254576,-0.127475,0.208919,-0.208421,0,0,,0.220017,0.531854,-0.287347,0.439004,0,0,
0,0,0,,0,0,,0.325613,0.575449,-0.865725,-0.0149091,0,0,,-0.099016,-1.6771,2.19243,0.172822,0,0,,0.301419,0.316188,0.000888012,1.07428,0,0,,0.0876084,-0.351336,0.117598,1.12395,0,0,,0.27925,0.290372,0.0392165,1.07986,0,0,,0.0873892,-0.27974,0.0150703,1.10539,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.238084,-0.115106,0.132589,-0.187527,0,0,,0.165199,0.518545,-0.044875,0.5285,0,0,
0,0,0,,0,0,,0.324335,0.573868,-0.832863,-0.0178553,0,0,,-0.0782151,-1.69119,2.07298,0.106934,0,0,,0.301419,0.316188,0.000888012,1.07428,0,0,,0.0876084,-0.351336,0.117598,1.12395,0,0,,0.279695,0.290169,0.0393339,1.07952,0,0,,0.0876224,-0.278724,0.0154378,1.1066,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.222282,-0.101542,0.0587412,-0.167035,0,0,,0.116633,0.507775,0.183719,0.604707,0,0,
